Name ,Weight (%),Market Value,Sector,ISIN,Country
SYSMEX CORP,0.03,"USD 2,144,494.26",Health Care,JP3351100007,JP
SEAGATE TECHNOLOGY HOLDINGS PLC,0.03,"USD 2,141,562.15",Information Technology,IE00BKVD2N49,IE
ASM INTERNATIONAL NV,0.03,"USD 2,136,780.65",Information Technology,NL0000334118,NL
VENTAS REIT INC,0.03,"USD 2,136,288.00",Real Estate,US92276F1003,US
DEUTSCHE WOHNEN,0.03,"USD 2,135,546.74",Real Estate,DE000A0HN5C6,DE
CGI INC,0.03,"USD 2,133,428.00",Information Technology,CA12532H1047,CA
HOLOGIC INC,0.03,"USD 2,131,600.44",Health Care,US4364401012,US
PRINCIPAL FINANCIAL GROUP INC,0.03,"USD 2,130,683.52",Financials,US74251V1026,US
CHURCH AND DWIGHT INC,0.03,"USD 2,127,805.05",Consumer Staples,US1713401024,US
DNB BANK,0.03,"USD 2,125,582.16",Financials,NO0010161896,NO
BIO TECHNE CORP,0.03,"USD 2,116,971.08",Health Care,US09073M1045,US
CITIZENS FINANCIAL GROUP INC,0.03,"USD 2,114,654.04",Financials,US1746101054,US
COLOPLAST B,0.03,"USD 2,113,934.31",Health Care,DK0060448595,DK
TYLER TECHNOLOGIES INC,0.03,"USD 2,112,370.89",Information Technology,US9022521051,US
WAYFAIR INC CLASS A,0.03,"USD 2,107,826.40",Consumer Discretionary,US94419L1017,US
DOMINOS PIZZA INC,0.03,"USD 2,097,062.88",Consumer Discretionary,US25754A2015,US
ARISTOCRAT LEISURE LTD,0.03,"USD 2,067,149.45",Consumer Discretionary,AU000000ALL7,AU
BAKER HUGHES CLASS A,0.03,"USD 2,065,208.53",Energy,US05722G1004,US
AMEREN CORP,0.03,"USD 2,062,411.78",Utilities,US0236081024,US
TELEDYNE TECHNOLOGIES INC,0.03,"USD 2,061,273.84",Information Technology,US8793601050,US
FORTIS INC,0.03,"USD 2,060,160.73",Utilities,CA3495531079,CA
SEA ADS REPRESENTING LTD CLASS A,0.03,"USD 2,058,469.14",Communication,US81141R1005,US
UPM-KYMMENE,0.03,"USD 2,057,460.22",Materials,FI0009005987,FI
AMCOR PLC,0.03,"USD 2,055,498.40",Materials,JE00BJ1F3079,JE
SEAGEN INC,0.03,"USD 2,051,085.74",Health Care,US81181C1045,US
REPSOL SA,0.03,"USD 2,050,060.91",Energy,ES0173516115,ES
RESTAURANTS BRANDS INTERNATIONAL I,0.03,"USD 2,045,017.85",Consumer Discretionary,CA76131D1033,CA
CHARLES RIVER LABORATORIES INTERNA,0.03,"USD 2,041,944.97",Health Care,US1598641074,US
DAIWA HOUSE INDUSTRY LTD,0.03,"USD 2,035,664.94",Real Estate,JP3505000004,JP
ZSCALER INC,0.03,"USD 2,035,760.80",Information Technology,US98980G1022,US
WORLDLINE SA,0.03,"USD 2,023,541.91",Information Technology,FR0011981968,FR
ON SEMICONDUCTOR CORP,0.03,"USD 2,022,826.26",Information Technology,US6821891057,US
FRESENIUS SE AND CO KGAA,0.03,"USD 2,006,719.02",Health Care,DE0005785604,DE
STRAUMANN HOLDING AG,0.03,"USD 2,005,113.42",Health Care,CH0012280076,CH
BROADRIDGE FINANCIAL SOLUTIONS INC,0.03,"USD 2,004,414.75",Information Technology,US11133T1034,US
INGERSOLL RAND INC,0.03,"USD 1,999,677.58",Industrials,US45687V1061,US
MITSUBISHI ESTATE CO LTD,0.03,"USD 1,999,426.78",Real Estate,JP3899600005,JP
ENPHASE ENERGY INC,0.03,"USD 1,994,205.66",Information Technology,US29355A1079,US
WW GRAINGER INC,0.03,"USD 1,983,121.44",Industrials,US3848021040,US
KUEHNE UND NAGEL INTERNATIONAL AG,0.03,"USD 1,981,330.90",Industrials,CH0025238863,CH
QORVO INC,0.03,"USD 1,979,369.82",Information Technology,US74736K1016,US
KBC GROEP,0.03,"USD 1,979,498.79",Financials,BE0003565737,BE
BIO RAD LABORATORIES INC CLASS A,0.03,"USD 1,968,089.28",Health Care,US0905722072,US
Z HOLDINGS CORP,0.03,"USD 1,965,549.66",Communication,JP3933800009,JP
M&T BANK CORP,0.03,"USD 1,964,876.90",Financials,US55261F1049,US
DUKE REALTY REIT CORP,0.03,"USD 1,958,538.42",Real Estate,US2644115055,US
SEGRO REIT PLC,0.03,"USD 1,957,536.47",Real Estate,GB00B5ZN1N88,GB
AVERY DENNISON CORP,0.03,"USD 1,946,024.85",Materials,US0536111091,US
AEON LTD,0.03,"USD 1,941,234.27",Consumer Staples,JP3388200002,JP
MONOLITHIC POWER SYSTEMS INC,0.03,"USD 1,939,320.90",Information Technology,US6098391054,US
UNICHARM CORP,0.03,"USD 1,934,507.53",Consumer Staples,JP3951600000,JP
LASERTEC CORP,0.03,"USD 1,932,952.10",Information Technology,JP3979200007,JP
CHENIERE ENERGY INC,0.03,"USD 1,925,049.36",Energy,US16411R2085,US
WESTINGHOUSE AIR BRAKE TECHNOLOGIE,0.03,"USD 1,924,675.14",Industrials,US9297401088,US
MITSUI FUDOSAN LTD,0.03,"USD 1,916,236.79",Real Estate,JP3893200000,JP
TERADYNE INC,0.03,"USD 1,915,710.79",Information Technology,US8807701029,US
AFTERPAY LTD,0.03,"USD 1,913,838.75",Information Technology,AU000000APT1,AU
LINK REAL ESTATE INVESTMENT TRUST,0.03,"USD 1,909,461.85",Real Estate,HK0823032773,HK
SUN HUNG KAI PROPERTIES LTD,0.03,"USD 1,905,483.57",Real Estate,HK0016000132,HK
BANDAI NAMCO HOLDINGS INC,0.03,"USD 1,903,216.07",Consumer Discretionary,JP3778630008,JP
CK HUTCHISON HOLDINGS LTD,0.03,"USD 1,894,835.35",Industrials,KYG217651051,KY
DRAFTKINGS INC CLASS A,0.03,"USD 1,886,396.16",Consumer Discretionary,US26142R1041,US
DEVON ENERGY CORP,0.03,"USD 1,886,344.02",Energy,US25179M1036,US
NOVAVAX INC,0.03,"USD 1,885,114.50",Health Care,US6700024010,US
BOSTON PROPERTIES REIT INC,0.03,"USD 1,880,539.92",Real Estate,US1011211018,US
NITORI HOLDINGS LTD,0.03,"USD 1,875,035.45",Consumer Discretionary,JP3756100008,JP
DARDEN RESTAURANTS INC,0.03,"USD 1,875,588.87",Consumer Discretionary,US2371941053,US
SIEMENS HEALTHINEERS AG,0.03,"USD 1,874,725.05",Health Care,DE000SHL1006,DE
COUPA SOFTWARE INC,0.03,"USD 1,869,181.36",Information Technology,US22266L1061,US
BT GROUP PLC,0.03,"USD 1,865,361.55",Communication,GB0030913577,GB
SGS SA,0.03,"USD 1,863,036.50",Industrials,CH0002497458,CH
SECOM LTD,0.03,"USD 1,859,881.97",Industrials,JP3421800008,JP
POWER CORPORATION OF CANADA,0.03,"USD 1,858,836.33",Financials,CA7392391016,CA
CARDINAL HEALTH INC,0.03,"USD 1,857,714.76",Health Care,US14149Y1082,US
CARNIVAL CORP,0.03,"USD 1,855,453.60",Consumer Discretionary,PA1436583006,PA
CELANESE CORP,0.03,"USD 1,850,212.32",Materials,US1508701034,US
ROYAL CARIBBEAN GROUP LTD,0.03,"USD 1,848,372.00",Consumer Discretionary,LR0008862868,LR
KYOCERA CORP,0.03,"USD 1,846,075.30",Information Technology,JP3249600002,JP
COLES GROUP LTD,0.03,"USD 1,844,117.44",Consumer Staples,AU0000030678,AU
AMERISOURCEBERGEN CORP,0.03,"USD 1,843,347.40",Health Care,US03073E1055,US
EAST JAPAN RAILWAY,0.03,"USD 1,840,310.65",Industrials,JP3783600004,JP
SUN COMMUNITIES REIT INC,0.03,"USD 1,835,198.10",Real Estate,US8666741041,US
ESSITY CLASS B,0.03,"USD 1,834,564.44",Consumer Staples,SE0009922164,SE
HONG KONG AND CHINA GAS LTD,0.03,"USD 1,831,838.18",Utilities,HK0003000038,HK
CARLSBERG AS CL B,0.03,"USD 1,827,479.06",Consumer Staples,DK0010181759,DK
NICE LTD,0.03,"USD 1,824,018.71",Information Technology,IL0002730112,IL
SWEDISH MATCH,0.03,"USD 1,821,191.71",Consumer Staples,SE0015812219,SE
SARTORIUS PREF AG,0.03,"USD 1,817,702.40",Health Care,DE0007165631,DE
EISAI LTD,0.03,"USD 1,815,241.32",Health Care,JP3160400002,JP
BURLINGTON STORES INC,0.03,"USD 1,814,980.49",Consumer Discretionary,US1220171060,US
AKAMAI TECHNOLOGIES INC,0.03,"USD 1,813,875.76",Information Technology,US00971T1016,US
CMS ENERGY CORP,0.03,"USD 1,810,210.00",Utilities,US1258961002,US
GENUINE PARTS,0.03,"USD 1,809,858.70",Consumer Discretionary,US3724601055,US
3I GROUP PLC,0.03,"USD 1,807,126.90",Financials,GB00B1YW4409,GB
MASCO CORP,0.03,"USD 1,805,085.84",Industrials,US5745991068,US
OMNICOM GROUP INC,0.03,"USD 1,799,952.00",Communication,US6819191064,US
HALLIBURTON,0.03,"USD 1,797,452.80",Energy,US4062161017,US
HEWLETT PACKARD ENTERPRISE,0.03,"USD 1,792,053.24",Information Technology,US42824C1099,US
CINCINNATI FINANCIAL CORP,0.03,"USD 1,786,179.00",Financials,US1720621010,US
INSULET CORP,0.03,"USD 1,785,944.32",Health Care,US45784P1012,US
TEXTRON INC,0.03,"USD 1,784,892.72",Industrials,US8832031012,US
HEALTHPEAK PROPERTIES INC,0.03,"USD 1,773,834.11",Real Estate,US42250P1030,US
MS&AD INSURANCE GROUP HOLDINGS INC,0.03,"USD 1,770,342.65",Financials,JP3890310000,JP
AIRBNB INC CLASS A,0.03,"USD 1,767,015.77",Consumer Discretionary,US0090661010,US
JAMES HARDIE INDUSTRIES CDI PLC,0.03,"USD 1,766,434.27",Materials,AU000000JHX1,AU
SWEDBANK,0.03,"USD 1,761,398.18",Financials,SE0000242455,SE
PEMBINA PIPELINE CORP,0.03,"USD 1,757,501.71",Energy,CA7063271034,CA
SWISS LIFE HOLDING AG,0.03,"USD 1,756,464.89",Financials,CH0014852781,CH
TELEFLEX INC,0.03,"USD 1,755,622.39",Health Care,US8793691069,US
EXACT SCIENCES CORP,0.03,"USD 1,754,561.90",Health Care,US30063P1057,US
EVERGY INC,0.03,"USD 1,750,485.16",Utilities,US30034W1062,US
SARTORIUS STEDIM BIOTECH SA,0.03,"USD 1,740,815.31",Health Care,FR0013154002,FR
SYMRISE AG,0.03,"USD 1,740,159.83",Materials,DE000SYM9999,DE
CNH INDUSTRIAL NV,0.03,"USD 1,739,147.53",Industrials,NL0010545661,NL
AVALARA INC,0.03,"USD 1,737,378.00",Information Technology,US05338G1067,US
KINGSPAN GROUP PLC,0.03,"USD 1,733,151.28",Industrials,IE0004927939,IE
OTSUKA HOLDINGS LTD,0.03,"USD 1,732,250.33",Health Care,JP3188220002,JP
AES CORP,0.03,"USD 1,728,060.14",Utilities,US00130H1059,US
LIGHTSPEED COMMERCE INC,0.03,"USD 1,726,825.44",Information Technology,CA53229C1077,CA
SWISSCOM AG,0.03,"USD 1,726,617.42",Communication,CH0008742519,CH
POOL CORP,0.03,"USD 1,723,942.95",Consumer Discretionary,US73278L1052,US
NN GROUP NV,0.03,"USD 1,723,784.93",Financials,NL0010773842,NL
JACOBS ENGINEERING GROUP INC,0.03,"USD 1,719,448.00",Industrials,US4698141078,US
STANDARD CHARTERED PLC,0.03,"USD 1,715,326.99",Financials,GB0004082847,GB
VIATRIS INC,0.03,"USD 1,713,860.98",Health Care,US92556V1061,US
IDEX CORP,0.03,"USD 1,693,655.77",Industrials,US45167R1041,US
MARKEL CORP,0.03,"USD 1,692,153.87",Financials,US5705351048,US
HENKEL & KGAA PREF AG,0.03,"USD 1,690,941.49",Consumer Staples,DE0006048432,DE
TOSHIBA CORP,0.03,"USD 1,685,712.98",Industrials,JP3592200004,JP
MOLINA HEALTHCARE INC,0.03,"USD 1,685,274.63",Health Care,US60855R1005,US
SUMITOMO CORP,0.03,"USD 1,684,476.87",Industrials,JP3404600003,JP
SMITH AND NEPHEW PLC,0.03,"USD 1,678,875.75",Health Care,GB0009223206,GB
XERO LTD,0.03,"USD 1,673,188.81",Information Technology,NZXROE0001S2,NZ
CRODA INTERNATIONAL PLC,0.03,"USD 1,664,433.88",Materials,GB00BJFFLV09,GB
WPP PLC,0.03,"USD 1,664,011.72",Communication,JE00B8KF9B49,JE
MARKETAXESS HOLDINGS INC,0.03,"USD 1,663,561.53",Financials,US57060D1081,US
RAYMOND JAMES INC,0.03,"USD 1,661,988.90",Financials,US7547301090,US
ROGERS COMMUNICATIONS NON-VOTING I,0.03,"USD 1,658,040.87",Communication,CA7751092007,CA
CONAGRA BRANDS INC,0.03,"USD 1,657,085.76",Consumer Staples,US2058871029,US
EDP ENERGIAS DE PORTUGAL SA,0.03,"USD 1,651,708.44",Utilities,PTEDP0AM0009,PT
SUZUKI MOTOR CORP,0.03,"USD 1,641,560.91",Consumer Discretionary,JP3397200001,JP
ARCH CAPITAL GROUP LTD,0.03,"USD 1,639,337.14",Financials,BMG0450A1053,BM
WESTERN DIGITAL CORP,0.03,"USD 1,633,493.88",Information Technology,US9581021055,US
SHIONOGI LTD,0.03,"USD 1,633,194.57",Health Care,JP3347200002,JP
F5 NETWORKS INC,0.03,"USD 1,632,733.78",Information Technology,US3156161024,US
SS AND C TECHNOLOGIES HOLDINGS INC,0.03,"USD 1,629,690.92",Information Technology,US78467J1007,US
SOMPO HOLDINGS INC,0.03,"USD 1,629,033.35",Financials,JP3165000005,JP
NIBE INDUSTRIER CLASS B,0.03,"USD 1,624,557.26",Industrials,SE0015988019,SE
OBIC LTD,0.03,"USD 1,622,215.11",Information Technology,JP3173400007,JP
LOEWS CORP,0.03,"USD 1,621,312.77",Financials,US5404241086,US
JUST EAT TAKEAWAY.COM NV,0.03,"USD 1,613,910.45",Consumer Discretionary,NL0012015705,NL
TAKE TWO INTERACTIVE SOFTWARE INC,0.03,"USD 1,612,864.47",Communication,US8740541094,US
BATH AND BODY WORKS INC,0.03,"USD 1,611,654.88",Consumer Discretionary,US0708301041,US
FERROVIAL SA,0.03,"USD 1,611,119.18",Industrials,ES0118900010,ES
CAIXABANK SA,0.03,"USD 1,611,463.68",Financials,ES0140609019,ES
FRESENIUS MEDICAL CARE AG,0.03,"USD 1,606,606.07",Health Care,DE0005785802,DE
NEWCREST MINING LTD,0.03,"USD 1,601,967.42",Materials,AU000000NCM7,AU
ELANCO ANIMAL HEALTH INC,0.03,"USD 1,600,632.67",Health Care,US28414H1032,US
NOMURA HOLDINGS INC,0.03,"USD 1,595,660.73",Financials,JP3762600009,JP
CHECK POINT SOFTWARE TECHNOLOGIES,0.03,"USD 1,592,296.44",Information Technology,IL0010824113,IL
CREDIT AGRICOLE SA,0.03,"USD 1,584,292.64",Financials,FR0000045072,FR
RINGCENTRAL INC CLASS A,0.03,"USD 1,584,340.32",Information Technology,US76680R2067,US
WOODSIDE PETROLEUM LTD,0.03,"USD 1,578,299.12",Energy,AU000000WPL2,AU
HELLOFRESH,0.03,"USD 1,577,526.18",Consumer Discretionary,DE000A161408,DE
ADVANCE AUTO PARTS INC,0.03,"USD 1,575,650.61",Consumer Discretionary,US00751Y1064,US
KIKKOMAN CORP,0.03,"USD 1,572,487.31",Consumer Staples,JP3240400006,JP
JULIUS BAER GRUPPE AG,0.03,"USD 1,567,075.71",Financials,CH0102484968,CH
KIRIN HOLDINGS LTD,0.03,"USD 1,565,159.89",Consumer Staples,JP3258000003,JP
PORSCHE AUTOMOBIL HOLDING PREF,0.03,"USD 1,561,505.12",Consumer Discretionary,DE000PAH0038,DE
NVR INC,0.03,"USD 1,559,580.08",Consumer Discretionary,US62944T1051,US
STEEL DYNAMICS INC,0.03,"USD 1,557,252.72",Materials,US8581191009,US
KELLOGG,0.03,"USD 1,556,308.44",Consumer Staples,US4878361082,US
SPIRAX-SARCO ENGINEERING PLC,0.03,"USD 1,556,299.34",Industrials,GB00BWFGQN14,GB
LYFT INC CLASS A,0.03,"USD 1,554,937.83",Industrials,US55087P1049,US
SVENSKA HANDELSBANKEN-A SHS,0.03,"USD 1,554,713.69",Financials,SE0007100599,SE
NOVOZYMES B,0.03,"USD 1,554,204.60",Materials,DK0060336014,DK
MGM RESORTS INTERNATIONAL,0.03,"USD 1,549,905.54",Consumer Discretionary,US5529531015,US
SHAW COMMUNICATIONS INC CLASS B,0.02,"USD 1,541,701.23",Communication,CA82028K2002,CA
HENNES & MAURITZ,0.02,"USD 1,536,677.98",Consumer Discretionary,SE0000106270,SE
TDK CORP,0.02,"USD 1,535,568.87",Information Technology,JP3538800008,JP
COGNEX CORP,0.02,"USD 1,534,959.43",Information Technology,US1924221039,US
SOLAREDGE TECHNOLOGIES INC,0.02,"USD 1,533,345.60",Information Technology,US83417M1045,US
EASTMAN CHEMICAL,0.02,"USD 1,527,922.13",Materials,US2774321002,US
LOBLAW COMPANIES LTD,0.02,"USD 1,527,099.19",Consumer Staples,CA5394811015,CA
CHOCOLADEFABRIKEN LINDT & SPRUENGL,0.02,"USD 1,526,584.34",Consumer Staples,CH0010570767,CH
VICI PPTYS INC,0.02,"USD 1,520,209.15",Real Estate,US9256521090,US
FACTSET RESEARCH SYSTEMS INC,0.02,"USD 1,518,577.89",Financials,US3030751057,US
NATWEST GROUP PLC,0.02,"USD 1,512,766.89",Financials,GB00B7T77214,GB
RENESAS ELECTRONICS CORP,0.02,"USD 1,500,617.59",Information Technology,JP3164720009,JP
FAIR ISAAC CORP,0.02,"USD 1,496,819.00",Information Technology,US3032501047,US
BIOMARIN PHARMACEUTICAL INC,0.02,"USD 1,494,633.61",Health Care,US09061G1013,US
INCYTE CORP,0.02,"USD 1,493,255.52",Health Care,US45337C1027,US
MAKITA CORP,0.02,"USD 1,487,295.85",Industrials,JP3862400003,JP
CROWN HOLDINGS INC,0.02,"USD 1,483,541.64",Materials,US2283681060,US
JB HUNT TRANSPORT SERVICES INC,0.02,"USD 1,483,241.76",Industrials,US4456581077,US
UDR REIT INC,0.02,"USD 1,475,375.00",Real Estate,US9026531049,US
ABIOMED INC,0.02,"USD 1,475,417.72",Health Care,US0036541003,US
SUNCORP GROUP LTD,0.02,"USD 1,473,313.54",Financials,AU000000SUN6,AU
PANDORA,0.02,"USD 1,468,616.78",Consumer Discretionary,DK0060252690,DK
PG&E CORP,0.02,"USD 1,464,772.02",Utilities,US69331C1080,US
NIPPON STEEL CORP,0.02,"USD 1,460,674.32",Materials,JP3381000003,JP
UCB SA,0.02,"USD 1,458,708.78",Health Care,BE0003739530,BE
EPIROC CLASS A,0.02,"USD 1,457,381.20",Industrials,SE0015658109,SE
WESTROCK,0.02,"USD 1,457,247.84",Materials,US96145D1054,US
JAPAN POST HOLDINGS LTD,0.02,"USD 1,457,047.07",Financials,JP3752900005,JP
FORTUNE BRANDS HOME AND SECURITY I,0.02,"USD 1,449,351.99",Industrials,US34964C1062,US
SEKISUI HOUSE LTD,0.02,"USD 1,444,825.93",Consumer Discretionary,JP3420600003,JP
RENTOKIL INITIAL PLC,0.02,"USD 1,442,290.42",Industrials,GB00B082RF11,GB
JAPAN EXCHANGE GROUP INC,0.02,"USD 1,442,078.78",Financials,JP3183200009,JP
HALMA PLC,0.02,"USD 1,439,203.60",Information Technology,GB0004052071,GB
DYNATRACE INC,0.02,"USD 1,438,378.56",Information Technology,US2681501092,US
EQUITY LIFESTYLE PROPERTIES REIT I,0.02,"USD 1,438,126.38",Real Estate,US29472R1086,US
SINGAPORE TELECOMMUNICATIONS LTD,0.02,"USD 1,436,164.06",Communication,SG1T75931496,SG
OCADO GROUP PLC,0.02,"USD 1,436,187.67",Consumer Staples,GB00B3MBS747,GB
FINECOBANK BANCA FINECO,0.02,"USD 1,433,834.08",Financials,IT0000072170,IT
NEXT PLC,0.02,"USD 1,433,362.57",Consumer Discretionary,GB0032089863,GB
AJINOMOTO INC,0.02,"USD 1,429,179.74",Consumer Staples,JP3119600009,JP
MARUBENI CORP,0.02,"USD 1,424,101.01",Industrials,JP3877600001,JP
ARGENX,0.02,"USD 1,422,856.32",Health Care,NL0010832176,NL
CLP HOLDINGS LTD,0.02,"USD 1,415,068.27",Utilities,HK0002007356,HK
NIPPON YUSEN,0.02,"USD 1,410,997.76",Industrials,JP3753000003,JP
NTT DATA CORP,0.02,"USD 1,408,756.12",Information Technology,JP3165700000,JP
ASAHI KASEI CORP,0.02,"USD 1,407,241.41",Materials,JP3111200006,JP
GODADDY INC CLASS A,0.02,"USD 1,407,160.32",Information Technology,US3802371076,US
IRON MOUNTAIN INC,0.02,"USD 1,405,417.81",Real Estate,US46284V1017,US
RED ELECTRICA SA,0.02,"USD 1,404,489.76",Utilities,ES0173093024,ES
ROCHE HOLDING AG,0.02,"USD 1,403,103.95",Health Care,CH0012032113,CH
CONTINENTAL AG,0.02,"USD 1,403,049.85",Consumer Discretionary,DE0005439004,DE
BROWN & BROWN INC,0.02,"USD 1,398,028.56",Financials,US1152361010,US
CENOVUS ENERGY INC,0.02,"USD 1,396,740.13",Energy,CA15135U1093,CA
PACKAGING CORP OF AMERICA,0.02,"USD 1,394,828.04",Materials,US6951561090,US
LOGITECH INTERNATIONAL SA,0.02,"USD 1,393,206.33",Information Technology,CH0025751329,CH
FORTUM,0.02,"USD 1,392,827.04",Utilities,FI0009007132,FI
HANG SENG BANK LTD,0.02,"USD 1,386,102.49",Financials,HK0011000095,HK
FOX CORP CLASS A,0.02,"USD 1,383,247.60",Communication,US35137L1052,US
CAMDEN PROPERTY TRUST REIT,0.02,"USD 1,380,540.96",Real Estate,US1331311027,US
JM SMUCKER,0.02,"USD 1,377,792.91",Consumer Staples,US8326964058,US
ENTAIN PLC,0.02,"USD 1,373,441.85",Consumer Discretionary,IM00B5VQMV65,IM
LINCOLN NATIONAL CORP,0.02,"USD 1,370,474.04",Financials,US5341871094,US
ZENDESK INC,0.02,"USD 1,367,366.07",Information Technology,US98936J1016,US
LEIDOS HOLDINGS INC,0.02,"USD 1,361,076.12",Industrials,US5253271028,US
OPEN TEXT CORP,0.02,"USD 1,360,946.83",Information Technology,CA6837151068,CA
MONDI PLC,0.02,"USD 1,360,813.01",Materials,GB00B1CRLC47,GB
ALLEGION PLC,0.02,"USD 1,358,016.57",Industrials,IE00BFRT3W74,IE
CERIDIAN HCM HOLDING INC,0.02,"USD 1,357,715.37",Information Technology,US15677J1088,US
NEC CORP,0.02,"USD 1,354,462.69",Information Technology,JP3733000008,JP
WHIRLPOOL CORP,0.02,"USD 1,350,767.59",Consumer Discretionary,US9633201069,US
BUNGE LTD,0.02,"USD 1,349,759.81",Consumer Staples,BMG169621056,BM
PUBLICIS GROUPE SA,0.02,"USD 1,348,937.55",Communication,FR0000130577,FR
DOLLARAMA INC,0.02,"USD 1,349,002.18",Consumer Discretionary,CA25675T1075,CA
CITRIX SYSTEMS INC,0.02,"USD 1,348,740.24",Information Technology,US1773761002,US
TOYOTA INDUSTRIES CORP,0.02,"USD 1,343,611.33",Consumer Discretionary,JP3634600005,JP
EDENRED,0.02,"USD 1,343,724.14",Information Technology,FR0010908533,FR
JACK HENRY AND ASSOCIATES INC,0.02,"USD 1,339,740.35",Information Technology,US4262811015,US
NITTO DENKO CORP,0.02,"USD 1,335,449.93",Materials,JP3684000007,JP
DOORDASH INC CLASS A,0.02,"USD 1,334,646.00",Consumer Discretionary,US25809K1051,US
FMC CORP,0.02,"USD 1,333,485.03",Materials,US3024913036,US
AGNICO EAGLE MINES LTD,0.02,"USD 1,333,928.51",Materials,CA0084741085,CA
GROUPE BRUXELLES LAMBERT NV,0.02,"USD 1,333,343.68",Financials,BE0003797140,BE
CHOCOLADEFABRIKEN LINDT & SPRUENGL,0.02,"USD 1,330,794.76",Consumer Staples,CH0010570759,CH
YASKAWA ELECTRIC CORP,0.02,"USD 1,328,331.58",Industrials,JP3932000007,JP
W. P. CAREY REIT INC,0.02,"USD 1,324,504.82",Real Estate,US92936U1097,US
COVESTRO AG,0.02,"USD 1,320,295.67",Materials,DE0006062144,DE
QIAGEN NV,0.02,"USD 1,319,039.17",Health Care,NL0012169213,NL
SAGE GROUP PLC,0.02,"USD 1,316,229.91",Information Technology,GB00B8C3BL03,GB
PULTEGROUP INC,0.02,"USD 1,313,921.70",Consumer Discretionary,US7458671010,US
MIRVAC GROUP STAPLED UNITS,0.02,"USD 1,313,707.33",Real Estate,AU000000MGR9,AU
LAS VEGAS SANDS CORP,0.02,"USD 1,307,093.60",Consumer Discretionary,US5178341070,US
HENRY SCHEIN INC,0.02,"USD 1,299,915.54",Health Care,US8064071025,US
CARREFOUR SA,0.02,"USD 1,299,799.85",Consumer Staples,FR0000120172,FR
LKQ CORP,0.02,"USD 1,298,121.66",Consumer Discretionary,US5018892084,US
WSP GLOBAL INC,0.02,"USD 1,297,354.79",Industrials,CA92938W2022,CA
HOWMET AEROSPACE INC,0.02,"USD 1,293,844.20",Industrials,US4432011082,US
TELUS CORP,0.02,"USD 1,291,340.22",Communication,CA87971M1032,CA
ALLIANT ENERGY CORP,0.02,"USD 1,289,952.28",Utilities,US0188021085,US
DENTSPLY SIRONA INC,0.02,"USD 1,287,845.75",Health Care,US24906P1093,US
ELISA,0.02,"USD 1,283,818.74",Communication,FI0009007884,FI
ATHENE HOLDING LTD CLASS A,0.02,"USD 1,282,418.82",Financials,BMG0684D1074,BM
ANNALY CAPITAL MANAGEMENT REIT INC,0.02,"USD 1,281,705.98",Financials,US0357104092,US
METRO INC,0.02,"USD 1,277,752.97",Consumer Staples,CA59162N1096,CA
BRAMBLES LTD,0.02,"USD 1,273,579.42",Industrials,AU000000BXB1,AU
TELENOR,0.02,"USD 1,273,815.92",Communication,NO0010063308,NO
NRG ENERGY INC,0.02,"USD 1,272,819.24",Utilities,US6293775085,US
CK ASSET HOLDINGS LTD,0.02,"USD 1,270,047.38",Real Estate,KYG2177B1014,KY
CENTERPOINT ENERGY INC,0.02,"USD 1,265,692.60",Utilities,US15189T1079,US
AGC INC,0.02,"USD 1,265,181.39",Industrials,JP3112000009,JP
SUBARU CORP,0.02,"USD 1,261,985.45",Consumer Discretionary,JP3814800003,JP
FRANKLIN RESOURCES INC,0.02,"USD 1,261,254.60",Financials,US3546131018,US
SOUTH32 LTD,0.02,"USD 1,259,914.17",Materials,AU000000S320,AU
MITSUBISHI CHEMICAL CORP,0.02,"USD 1,258,394.25",Materials,JP3897700005,JP
EQUITABLE HOLDINGS INC,0.02,"USD 1,257,670.08",Financials,US29452E1010,US
CH ROBINSON WORLDWIDE INC,0.02,"USD 1,256,686.20",Industrials,US12541W2098,US
PUMA,0.02,"USD 1,256,477.89",Consumer Discretionary,DE0006969603,DE
JARDINE MATHESON HOLDINGS LTD,0.02,"USD 1,255,926.00",Industrials,BMG507361001,BM
INTERCONTINENTAL HOTELS GROUP PLC,0.02,"USD 1,251,216.14",Consumer Discretionary,GB00BHJYC057,GB
ROBERT HALF,0.02,"USD 1,251,499.82",Industrials,US7703231032,US
SONIC HEALTHCARE LTD,0.02,"USD 1,250,892.56",Health Care,AU000000SHL7,AU
CBOE GLOBAL MARKETS INC,0.02,"USD 1,249,444.70",Financials,US12503M1080,US
FISHER AND PAYKEL HEALTHCARE CORPO,0.02,"USD 1,247,907.25",Health Care,NZFAPE0001S2,NZ
DISH NETWORK CORP CLASS A,0.02,"USD 1,247,096.91",Communication,US25470M1099,US
IAC INTERACTIVE,0.02,"USD 1,243,682.52",Communication,US44891N2080,US
ZILLOW GROUP INC CLASS C,0.02,"USD 1,241,420.98",Communication,US98954M2008,US
TECK RESOURCES SUBORDINATE VOTING,0.02,"USD 1,240,379.97",Materials,CA8787422044,CA
SCENTRE GROUP,0.02,"USD 1,234,458.70",Real Estate,AU000000SCG8,AU
INTERTEK GROUP PLC,0.02,"USD 1,233,055.26",Industrials,GB0031638363,GB
LUMEN TECHNOLOGIES INC,0.02,"USD 1,232,924.16",Communication,US5502411037,US
MASIMO CORP,0.02,"USD 1,230,602.88",Health Care,US5747951003,US
